Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
Chris Paddack,,7,8,9,4.65,23,23,0,0,,124,132,68,64,21,32,0,4,95,6.88,2.33,2.96,1.50,0.18,0.267,1.32,0.29,0.71,0.38,,4.65,1.06,0.92,749.3099975585938,398.09999999999997,3.2104838709677415,429.00,3.4596774193548385,6.53,5.89,5.46,5.12,4.82,4.54,4.26,3.95,3.56,5.66,5.40,5.22,5.07,4.93,4.80,4.66,4.50,4.30,Chris Paddack,20099.00,663978.00
Kodai Senga,NYM,8,7,9,3.92,35,19,0,1,,123,112,58,54,15,52,1,5,124,9.07,3.82,2.38,1.07,0.23,0.238,1.33,0.29,0.74,0.44,,4.04,1.43,1.53,299.3800048828125,515.50,4.191056910569106,501.00,4.073170731707317,6.03,5.24,4.74,4.36,4.03,3.73,3.45,3.13,2.75,4.90,4.66,4.49,4.35,4.23,4.11,3.99,3.84,3.65,Kodai Senga,31838.00,673540.00
Patrick Sandoval,BOS,7,7,9,3.94,35,19,0,1,,123,119,59,54,14,48,1,5,115,8.36,3.51,2.38,0.99,0.22,0.250,1.35,0.30,0.73,0.46,,3.98,1.69,1.77,601.3099975585938,503.60,4.094308943089431,508.00,4.130081300813008,6.09,5.28,4.77,4.39,4.06,3.76,3.46,3.14,2.76,4.97,4.72,4.54,4.39,4.25,4.12,3.99,3.84,3.64,Patrick Sandoval,19447.00,663776.00
Lance McCullers Jr.,HOU,7,8,8,4.39,33,21,0,1,,123,119,65,60,16,55,1,6,115,8.40,4.03,2.08,1.15,0.21,0.251,1.42,0.30,0.72,0.46,,4.42,1.27,0.93,676.75,455.0000000000001,3.6991869918699196,458.00,3.7235772357723578,6.63,5.80,5.27,4.86,4.52,4.19,3.88,3.54,3.14,5.56,5.25,5.03,4.86,4.71,4.55,4.39,4.21,3.98,Lance McCullers Jr.,14120.00,621121.00
Logan Allen,CLE,7,8,8,4.45,29,21,0,1,,123,126,66,61,17,48,1,5,99,7.27,3.50,2.08,1.28,0.18,0.261,1.42,0.30,0.73,0.42,,4.64,0.93,0.76,706.3800048828125,416.50,3.386178861788618,437.00,3.5528455284552845,6.56,5.79,5.30,4.92,4.60,4.29,4.00,3.68,3.29,5.44,5.20,5.03,4.90,4.77,4.65,4.53,4.39,4.20,Logan Allen,27589.00,671106.00
José Berríos,TOR,7,7,7,4.34,46,16,0,1,,122,125,63,59,18,36,2,6,107,7.88,2.63,3.00,1.35,0.20,0.257,1.31,0.30,0.72,0.41,,4.35,1.04,0.74,444.00,448.4000000000002,3.6754098360655756,468.00,3.8360655737704916,6.60,5.75,5.21,4.79,4.43,4.11,3.78,3.44,3.01,5.24,5.03,4.88,4.75,4.65,4.54,4.42,4.29,4.11,Jose Berrios,14168.00,621244.00
Braxton Garrett,MIA,7,7,9,3.76,40,18,0,1,,122,120,56,51,14,30,1,7,109,8.03,2.21,3.63,1.02,0.21,0.253,1.23,0.30,0.72,0.47,,3.73,1.89,1.92,497.30999755859375,529.6000000000001,4.340983606557378,539.00,4.418032786885246,5.94,5.12,4.60,4.21,3.86,3.56,3.25,2.94,2.55,4.80,4.54,4.36,4.20,4.07,3.94,3.80,3.65,3.44,Braxton Garrett,21844.00,666129.00
Taijuan Walker,PHI,6,8,5,4.81,50,16,0,1,,121,131,70,65,20,42,1,5,87,6.47,3.12,2.07,1.48,0.16,0.270,1.42,0.29,0.71,0.42,,4.99,0.37,0.38,744.00,345.80000000000007,2.8578512396694222,382.00,3.16,7.22,6.33,5.76,5.31,4.92,4.57,4.22,3.85,3.38,5.82,5.57,5.41,5.26,5.13,5.01,4.88,4.73,4.53,Taijuan Walker,11836.00,592836.00
Kutter Crawford,BOS,7,7,7,4.39,46,16,0,1,,120,118,62,59,19,34,1,5,115,8.64,2.57,3.36,1.44,0.23,0.250,1.26,0.29,0.72,0.34,,4.28,1.09,1.12,525.1300048828125,464.49999999999994,3.8708333333333327,470.00,3.9166666666666665,6.66,5.78,5.22,4.79,4.42,4.08,3.75,3.40,2.97,5.37,5.10,4.93,4.77,4.63,4.50,4.36,4.20,4.00,Kutter Crawford,20531.00,676710.00
Emmet Sheehan,LAD,8,6,8,3.88,40,18,0,1,,120,104,55,52,18,42,1,5,136,10.21,3.12,3.27,1.32,0.27,0.228,1.21,0.29,0.75,0.36,,3.94,1.90,1.85,120.55999755859375,531.20,4.426666666666667,501.00,4.18,6.01,5.17,4.65,4.25,3.91,3.60,3.29,2.97,2.58,4.87,4.60,4.41,4.25,4.12,3.98,3.84,3.68,3.48,Emmet Sheehan,29839.00,686218.00
José Urquidy,,6,8,8,5.01,21,21,0,0,,119,127,70,66,21,36,0,5,87,6.60,2.71,2.44,1.63,0.17,0.268,1.37,0.29,0.70,0.35,,5.03,0.25,0.42,999.00,343.09999999999997,2.883193277310924,373.00,3.134453781512605,6.99,6.30,5.85,5.49,5.17,4.87,4.57,4.24,3.83,6.11,5.81,5.61,5.44,5.28,5.13,4.97,4.80,4.56,Jose Urquidy,18413.00,664353.00
Josiah Gray,WSN,6,9,7,5.11,21,21,0,0,,118,120,71,67,22,49,1,6,99,7.56,3.72,2.03,1.64,0.19,0.258,1.43,0.29,0.71,0.34,,5.20,0.25,0.41,718.6300048828125,323.60,2.7423728813559323,337.00,2.8559322033898304,7.10,6.41,5.96,5.59,5.27,4.97,4.67,4.34,3.92,6.20,5.91,5.71,5.54,5.38,5.24,5.08,4.91,4.68,Josiah Gray,24580.00,680686.00
Luis Morales,ATH,7,8,8,4.70,21,21,0,0,,118,118,66,62,18,49,0,5,100,7.62,3.70,2.06,1.38,0.19,0.257,1.41,0.29,0.71,0.40,,4.78,0.99,0.90,411.1300048828125,383.00000000000006,3.2457627118644075,394.00,3.3389830508474576,6.68,6.00,5.55,5.20,4.89,4.60,4.30,3.98,3.58,5.81,5.52,5.32,5.15,5.00,4.86,4.70,4.53,4.31,Luis Morales,32227.00,806960.00
Shohei Ohtani,LAD,9,6,10,3.44,23,23,0,0,,117,98,48,45,15,36,0,5,136,10.48,2.79,3.76,1.13,0.28,0.223,1.15,0.29,0.75,0.41,,3.48,2.58,2.65,1.00,575.5000000000002,4.918803418803421,539.00,4.6068376068376065,5.17,4.56,4.16,3.85,3.58,3.33,3.08,2.81,2.48,4.38,4.13,3.96,3.82,3.70,3.57,3.45,3.31,3.12,Shohei Ohtani,19755.00,660271.00
Ryan Feltner,COL,5,9,6,5.18,27,19,0,1,,115,127,71,66,18,45,0,5,95,7.39,3.50,2.11,1.38,0.19,0.276,1.49,0.31,0.69,0.43,,4.78,0.92,0.92,748.6900024414062,343.40000000000003,2.9860869565217394,385.00,3.347826086956522,7.48,6.64,6.09,5.68,5.32,4.97,4.65,4.30,3.85,6.29,6.01,5.82,5.65,5.51,5.36,5.21,5.04,4.82,Ryan Feltner,21446.00,663372.00
Hunter Barco,PIT,6,7,7,4.18,38,16,0,1,,114,112,58,53,13,47,1,6,100,7.89,3.73,2.12,1.06,0.20,0.252,1.39,0.30,0.72,0.44,,4.32,1.23,1.24,999.00,437.49999999999994,3.8377192982456134,446.00,3.912280701754386,6.53,5.64,5.07,4.64,4.28,3.94,3.61,3.27,2.84,5.31,5.02,4.81,4.64,4.49,4.34,4.20,4.03,3.80,Hunter Barco,33174.00,682995.00
Luis Medina,ATH,6,7,6,4.54,40,16,0,1,,114,113,62,58,16,48,2,6,102,8.06,3.82,2.11,1.26,0.21,0.254,1.41,0.30,0.72,0.42,,4.59,0.80,0.77,999.00,398.99999999999994,3.4999999999999996,408.00,3.5789473684210527,6.96,6.04,5.46,5.01,4.62,4.26,3.92,3.55,3.10,5.70,5.38,5.17,5.00,4.83,4.68,4.53,4.34,4.10,Luis Medina,21649.00,665622.00
McCade Brown,COL,5,9,6,5.52,21,21,0,0,,114,123,74,70,20,50,0,6,98,7.73,3.97,1.95,1.60,0.19,0.271,1.52,0.31,0.69,0.38,,5.23,0.43,0.69,999.00,305.7999999999999,2.6824561403508764,338.00,2.9649122807017543,7.65,6.91,6.42,6.03,5.69,5.37,5.04,4.68,4.23,6.77,6.42,6.18,5.98,5.80,5.63,5.45,5.24,4.97,McCade Brown,30004.00,685326.00
Richard Fitts,STL,6,7,6,4.43,40,16,0,1,,111,116,59,55,16,34,1,5,83,6.76,2.77,2.44,1.27,0.17,0.264,1.35,0.30,0.71,0.42,,4.51,0.43,0.67,566.3800048828125,376.0000000000001,3.3873873873873883,400.00,3.6036036036036037,6.83,5.91,5.34,4.89,4.52,4.17,3.83,3.47,3.02,5.49,5.21,5.04,4.88,4.74,4.60,4.47,4.31,4.09,Richard Fitts,30160.00,690916.00
Mick Abel,MIN,6,7,5,4.43,53,13,0,1,,111,108,59,55,14,49,1,4,102,8.25,3.95,2.09,1.16,0.21,0.252,1.42,0.30,0.72,0.43,,4.41,0.56,0.54,489.8800048828125,417.40000000000003,3.7603603603603606,422.00,3.8018018018018016,6.90,5.96,5.36,4.90,4.51,4.14,3.79,3.41,2.95,5.46,5.20,5.02,4.87,4.74,4.61,4.47,4.32,4.12,Mick Abel,27756.00,690953.00
Jonathan Cannon,CHW,5,8,6,4.82,38,16,0,1,,110,117,63,59,18,39,1,5,83,6.75,3.18,2.13,1.47,0.17,0.266,1.41,0.29,0.71,0.40,,4.95,0.54,0.28,999.00,326.40000000000003,2.9672727272727277,354.00,3.2181818181818183,7.25,6.33,5.74,5.29,4.90,4.54,4.20,3.82,3.36,5.83,5.58,5.41,5.26,5.13,4.99,4.86,4.71,4.50,Jonathan Cannon,31730.00,686563.00
Ian Seymour,TBR,6,7,7,4.35,34,16,0,1,,109,108,57,53,18,34,1,6,99,8.19,2.77,2.95,1.45,0.21,0.252,1.29,0.29,0.73,0.38,,4.49,0.80,0.83,305.1300048828125,386.40000000000003,3.5449541284403674,393.00,3.6055045871559632,6.65,5.75,5.19,4.77,4.40,4.06,3.73,3.39,2.96,5.35,5.09,4.90,4.76,4.63,4.49,4.35,4.20,4.00,Ian Seymour,27932.00,693855.00
Alek Manoah,LAA,5,8,7,4.81,19,19,0,0,,108,109,62,58,17,44,0,7,92,7.65,3.71,2.06,1.40,0.19,0.258,1.42,0.29,0.71,0.39,,4.88,0.66,0.57,675.3800048828125,337.70000000000005,3.1268518518518524,350.00,3.240740740740741,6.84,6.14,5.67,5.31,4.98,4.68,4.38,4.05,3.63,5.89,5.61,5.41,5.25,5.11,4.96,4.82,4.65,4.43,Alek Manoah,26410.00,666201.00
Cody Bradford,TEX,6,7,7,4.37,30,16,0,1,,105,106,55,51,17,27,1,4,90,7.71,2.32,3.32,1.48,0.20,0.255,1.27,0.29,0.72,0.35,,4.43,0.93,0.74,584.8099975585938,383.29999999999995,3.65,395.00,3.761904761904762,6.69,5.77,5.21,4.77,4.40,4.06,3.73,3.37,2.95,5.45,5.15,4.95,4.78,4.62,4.47,4.32,4.15,3.92,Cody Bradford,27597.00,674003.00
Sean Newcomb,CHW,5,6,5,4.16,53,11,0,1,,105,100,52,48,13,45,1,5,96,8.20,3.87,2.12,1.14,0.21,0.248,1.38,0.29,0.73,0.44,,4.37,0.84,0.87,692.3099975585938,403.10,3.8390476190476193,402.00,3.8285714285714287,6.68,5.70,5.09,4.61,4.22,3.85,3.50,3.12,2.67,5.25,4.97,4.77,4.61,4.46,4.32,4.17,4.01,3.79,Sean Newcomb,16943.00,656794.00
Joe Boyle,TBR,6,7,7,4.24,28,18,0,1,,105,93,53,49,13,56,1,5,112,9.61,4.78,2.01,1.10,0.24,0.236,1.42,0.30,0.73,0.44,,4.34,1.00,1.08,450.50,420.30,4.002857142857143,401.00,3.8190476190476192,6.50,5.63,5.09,4.68,4.34,4.02,3.70,3.37,2.97,5.27,5.01,4.83,4.69,4.55,4.43,4.29,4.14,3.95,Joe Boyle,29608.00,671212.00
Hunter Dobbins,STL,6,7,6,4.33,37,15,0,1,,102,106,53,49,14,33,1,4,75,6.61,2.93,2.26,1.20,0.17,0.263,1.36,0.29,0.72,0.44,,4.50,0.59,0.74,701.1900024414062,350.0000000000001,3.431372549019609,371.00,3.6372549019607843,6.82,5.86,5.26,4.81,4.41,4.06,3.71,3.34,2.90,5.43,5.15,4.95,4.80,4.66,4.52,4.37,4.21,4.00,Hunter Dobbins,30240.00,690928.00
Tyler Wells,BAL,6,6,4,4.53,49,11,0,1,,102,103,54,51,18,26,1,4,91,8.05,2.33,3.45,1.62,0.21,0.256,1.27,0.29,0.72,0.33,,4.56,0.59,0.37,384.55999755859375,361.6000000000001,3.545098039215687,372.00,3.6470588235294117,7.06,6.05,5.43,4.94,4.52,4.14,3.78,3.39,2.91,5.58,5.28,5.09,4.92,4.78,4.63,4.49,4.31,4.09,Tyler Wells,20000.00,669330.00
Andrew Alvarez,WSN,5,6,5,4.10,47,11,0,1,,99,101,49,45,11,38,1,4,72,6.56,3.47,1.89,0.98,0.17,0.262,1.40,0.30,0.72,0.50,,4.39,0.85,1.00,999.00,356.69999999999993,3.603030303030302,374.00,3.7777777777777777,6.66,5.69,5.07,4.60,4.20,3.83,3.48,3.10,2.65,5.15,4.90,4.73,4.58,4.46,4.33,4.20,4.05,3.86,Andrew Alvarez,29914.00,674841.00
Drew Anderson,DET,5,6,6,4.06,38,13,0,1,,99,92,48,45,12,39,1,5,101,9.22,3.55,2.60,1.07,0.24,0.241,1.32,0.30,0.72,0.42,,3.96,1.18,0.99,623.0599975585938,419.80,4.240404040404041,413.00,4.171717171717172,6.47,5.52,4.93,4.48,4.09,3.74,3.41,3.05,2.62,5.04,4.79,4.62,4.48,4.35,4.22,4.10,3.95,3.76,Drew Anderson,15130.00,623454.00
Logan Henderson,MIL,6,6,6,4.08,37,13,0,1,,97,89,47,44,15,29,1,3,97,9.02,2.69,3.35,1.40,0.24,0.238,1.22,0.28,0.73,0.35,,4.16,1.18,1.10,303.75,403.9000000000001,4.163917525773197,392.00,4.041237113402062,6.49,5.52,4.91,4.45,4.07,3.71,3.37,3.02,2.59,5.09,4.82,4.62,4.47,4.32,4.18,4.04,3.88,3.67,Logan Henderson,31475.00,701656.00
Max Meyer,MIA,5,6,6,3.93,37,13,0,1,,96,93,46,42,12,31,1,4,91,8.53,2.85,2.99,1.10,0.22,0.249,1.28,0.30,0.73,0.46,,3.88,1.16,1.24,410.50,402.00000000000006,4.187500000000001,405.00,4.22,6.38,5.41,4.81,4.35,3.97,3.62,3.28,2.93,2.50,4.99,4.72,4.52,4.37,4.23,4.09,3.95,3.79,3.58,Max Meyer,27474.00,676974.00
Jake Irvin,WSN,5,7,6,4.59,30,15,0,1,,96,101,53,49,15,30,1,4,75,6.97,2.85,2.45,1.38,0.18,0.266,1.36,0.30,0.71,0.42,,4.64,0.58,0.63,741.4400024414062,315.30000000000007,3.2843750000000007,337.00,3.5104166666666665,7.03,6.08,5.49,5.03,4.65,4.29,3.95,3.58,3.13,5.53,5.31,5.15,5.02,4.90,4.78,4.66,4.52,4.34,Jake Irvin,21504.00,663623.00
J.T. Ginn,ATH,6,6,6,4.05,31,15,0,1,,95,93,46,43,11,32,1,5,85,8.05,3.07,2.62,1.07,0.21,0.254,1.33,0.30,0.72,0.49,,4.06,1.28,1.26,505.44000244140625,388.90000000000003,4.093684210526316,395.00,4.157894736842105,6.49,5.54,4.95,4.51,4.13,3.79,3.45,3.11,2.68,5.10,4.84,4.66,4.51,4.38,4.25,4.12,3.96,3.77,J.T. Ginn,27889.00,669372.00
Jared Jones,PIT,6,6,8,3.86,16,16,0,0,,92,83,42,39,12,31,0,4,96,9.43,3.04,3.10,1.13,0.25,0.237,1.25,0.29,0.73,0.39,,3.82,1.51,1.69,444.94000244140625,404.40000000000003,4.395652173913044,391.00,4.25,5.84,5.12,4.65,4.29,3.97,3.68,3.39,3.08,2.70,4.88,4.61,4.42,4.26,4.12,3.99,3.85,3.69,3.48,Jared Jones,27863.00,683003.00
Kyle Wright,,5,6,7,4.30,16,16,0,0,,91,93,47,44,11,32,0,5,74,7.33,3.12,2.35,1.11,0.19,0.262,1.37,0.30,0.71,0.48,,4.30,1.01,0.96,999.00,333.2999999999999,3.6626373626373616,349.00,3.8351648351648353,6.44,5.69,5.20,4.82,4.49,4.18,3.87,3.54,3.13,5.42,5.14,4.94,4.78,4.64,4.50,4.35,4.19,3.97,Kyle Wright,19665.00,657140.00
Jordan Montgomery,,5,6,7,4.35,16,16,0,0,,91,95,47,44,12,28,0,3,68,6.80,2.75,2.47,1.21,0.18,0.265,1.36,0.30,0.71,0.43,,4.39,0.92,0.96,745.4400024414062,321.79999999999995,3.5362637362637357,342.00,3.758241758241758,6.45,5.71,5.23,4.85,4.52,4.22,3.91,3.58,3.17,5.38,5.13,4.95,4.80,4.67,4.54,4.41,4.25,4.05,Jordan Montgomery,16511.00,656756.00
Caden Dana,LAA,4,7,6,5.05,16,16,0,0,,90,93,54,51,16,40,0,4,76,7.58,3.95,1.92,1.56,0.19,0.260,1.46,0.29,0.71,0.39,,5.15,0.20,0.25,721.3800048828125,247.39999999999998,2.7488888888888887,262.00,2.911111111111111,7.24,6.47,5.96,5.56,5.21,4.88,4.55,4.20,3.75,6.15,5.86,5.67,5.50,5.35,5.21,5.06,4.89,4.66,Caden Dana,31508.00,702674.00
Rhett Lowder,CIN,5,6,5,4.49,37,11,0,1,,90,94,49,45,13,30,1,4,74,7.34,2.97,2.47,1.30,0.19,0.264,1.37,0.30,0.71,0.46,,4.51,0.72,0.69,478.05999755859375,311.70000000000005,3.463333333333334,331.00,3.6777777777777776,7.20,6.14,5.47,4.96,4.53,4.13,3.75,3.35,2.87,5.69,5.37,5.15,4.96,4.81,4.65,4.48,4.30,4.05,Rhett Lowder,33876.00,695076.00
Ryan Weiss,HOU,5,5,4,4.31,44,10,0,1,,89,88,46,43,12,34,1,5,84,8.43,3.42,2.46,1.16,0.22,0.253,1.36,0.30,0.72,0.45,,4.24,0.71,0.51,999.00,337.20,3.7887640449438202,344.00,3.865168539325843,6.97,5.92,5.26,4.76,4.33,3.94,3.57,3.18,2.70,5.36,5.09,4.90,4.75,4.62,4.48,4.34,4.19,3.98,Ryan Weiss,sa3007778,680802.00
Keider Montero,DET,5,5,4,4.40,44,10,0,1,,87,88,46,43,12,30,1,4,73,7.57,3.05,2.48,1.29,0.19,0.257,1.35,0.29,0.72,0.41,,4.45,0.46,0.36,738.25,315.40000000000003,3.6252873563218393,327.00,3.7586206896551726,7.09,6.02,5.35,4.84,4.41,4.02,3.64,3.24,2.76,5.39,5.14,4.97,4.84,4.70,4.58,4.45,4.30,4.11,Keider Montero,22630.00,672456.00
Grant Holmes,ATL,5,5,5,4.10,35,11,0,1,,87,83,43,40,11,32,1,4,87,9.02,3.34,2.70,1.13,0.23,0.248,1.33,0.30,0.73,0.43,,4.00,0.80,0.93,507.55999755859375,362.70,4.1689655172413795,362.00,4.160919540229885,6.67,5.64,5.00,4.51,4.11,3.74,3.38,3.01,2.56,5.11,4.85,4.67,4.53,4.39,4.26,4.13,3.98,3.78,Grant Holmes,16944.00,656550.00
Charlie Morton,,5,6,6,4.37,16,16,0,0,,86,83,45,42,11,38,1,6,84,8.77,3.95,2.22,1.19,0.22,0.248,1.40,0.30,0.72,0.44,,4.43,0.77,0.85,999.00,321.2999999999999,3.736046511627906,323.00,3.755813953488372,6.46,5.72,5.24,4.86,4.53,4.22,3.92,3.59,3.18,5.31,5.09,4.93,4.80,4.69,4.57,4.45,4.32,4.14,Charlie Morton,4676.00,450203.00
Yoendrys Gómez,TBR,4,5,3,4.62,48,8,0,1,,85,83,47,44,14,35,1,4,81,8.52,3.65,2.33,1.44,0.22,0.250,1.38,0.29,0.72,0.38,,4.69,0.25,0.12,731.3099975585938,290.00,3.411764705882353,292.00,3.4352941176470586,7.40,6.29,5.60,5.06,4.60,4.19,3.79,3.38,2.87,5.68,5.39,5.20,5.05,4.90,4.76,4.62,4.45,4.23,Yoendrys Gomez,22872.00,672782.00
Spencer Arrighetti,HOU,5,5,5,4.56,27,13,0,1,,85,80,46,43,13,36,1,4,84,8.86,3.86,2.30,1.36,0.23,0.245,1.37,0.29,0.72,0.38,,4.56,0.48,0.47,448.00,313.10,3.683529411764706,308.00,3.623529411764706,7.13,6.10,5.46,4.97,4.56,4.19,3.83,3.44,2.99,5.61,5.33,5.14,4.98,4.84,4.70,4.56,4.39,4.18,Spencer Arrighetti,29921.00,681293.00
Cal Quantrill,,5,6,5,4.88,16,16,0,0,,85,91,49,46,13,28,0,4,63,6.75,3.00,2.25,1.41,0.17,0.268,1.41,0.30,0.70,0.40,,4.82,0.51,0.40,999.00,262.50,3.088235294117647,286.00,3.364705882352941,7.06,6.29,5.78,5.38,5.03,4.71,4.38,4.03,3.59,5.87,5.62,5.46,5.32,5.19,5.07,4.94,4.79,4.59,Cal Quantrill,19312.00,615698.00
Tyler Alexander,TEX,4,5,1,4.50,69,3,0,14,,84,87,44,42,14,23,2,3,67,7.25,2.51,2.89,1.49,0.19,0.260,1.32,0.29,0.72,0.35,,4.61,0.10,0.03,999.00,335.2000000000001,3.990476190476192,350.00,4.166666666666667,7.15,6.07,5.41,4.90,4.47,4.08,3.70,3.31,2.83,5.48,5.22,5.05,4.90,4.77,4.63,4.50,4.35,4.15,Tyler Alexander,17735.00,641302.00
Jimmy Herget,COL,4,5,1,4.85,76,2,2,14,,83,88,48,45,13,27,2,4,73,7.87,2.95,2.67,1.44,0.20,0.266,1.38,0.31,0.70,0.37,,4.60,0.29,0.28,749.8800048828125,344.50000000000006,4.150602409638555,365.00,4.397590361445783,7.48,6.43,5.77,5.27,4.85,4.47,4.09,3.70,3.21,5.94,5.65,5.45,5.28,5.13,4.98,4.82,4.65,4.42,Jimmy Herget,17556.00,623474.00
Sean Sullivan,COL,4,6,5,5.21,15,15,0,0,,83,94,51,48,15,24,0,4,61,6.63,2.65,2.50,1.65,0.17,0.280,1.43,0.30,0.69,0.38,,5.06,0.48,0.75,999.00,223.30000000000004,2.690361445783133,258.00,3.108433734939759,7.51,6.68,6.14,5.71,5.34,4.99,4.65,4.27,3.80,6.39,6.07,5.84,5.66,5.50,5.33,5.17,4.98,4.73,Sean Sullivan,sa3023162,807743.00
Justin Steele,CHC,5,5,8,3.63,15,15,0,0,,83,78,37,34,10,23,0,3,79,8.54,2.54,3.37,1.06,0.23,0.244,1.22,0.30,0.74,0.45,,3.72,1.31,1.48,395.94000244140625,368.40000000000003,4.4385542168674705,365.00,4.397590361445783,5.65,4.92,4.45,4.08,3.77,3.48,3.19,2.89,2.51,4.60,4.36,4.19,4.05,3.93,3.81,3.69,3.55,3.36,Justin Steele,17312.00,657006.00
Gabriel Hughes,COL,4,6,4,5.25,29,11,0,1,,83,96,52,48,13,30,1,3,58,6.34,3.25,1.95,1.38,0.16,0.287,1.52,0.32,0.69,0.47,,4.92,0.39,0.46,999.00,225.70000000000007,2.7192771084337357,267.00,3.216867469879518,8.16,7.02,6.31,5.76,5.30,4.88,4.46,4.02,3.49,6.51,6.17,5.94,5.75,5.59,5.42,5.25,5.05,4.80,Gabriel Hughes,sa3020661,687312.00
Mitchell Parker,WSN,4,5,2,4.33,52,6,0,1,,81,83,42,39,12,25,1,2,65,7.19,2.77,2.59,1.30,0.19,0.260,1.33,0.29,0.72,0.38,,4.43,0.39,0.44,750.6900024414062,288.99999999999994,3.5679012345679006,302.00,3.728395061728395,7.07,5.96,5.27,4.75,4.30,3.90,3.51,3.11,2.62,5.26,5.03,4.87,4.74,4.61,4.50,4.38,4.23,4.05,Mitchell Parker,27636.00,680730.00
Stephen Kolek,KCR,4,5,4,4.15,41,8,0,1,,80,86,40,37,8,24,1,4,58,6.60,2.72,2.43,0.92,0.17,0.272,1.38,0.31,0.71,0.52,,4.06,0.69,0.71,603.1300048828125,306.00,3.83,332.00,4.15,6.97,5.85,5.16,4.63,4.19,3.79,3.41,3.01,2.53,5.22,4.97,4.78,4.64,4.51,4.38,4.24,4.09,3.89,Stephen Kolek,21487.00,663568.00
Ryan Yarbrough,NYY,4,4,2,4.42,57,5,0,7,,79,81,42,39,12,24,2,5,62,7.11,2.71,2.63,1.41,0.18,0.257,1.32,0.29,0.72,0.39,,4.67,0.12,0.02,649.9400024414062,291.40,3.6886075949367085,304.00,3.848101265822785,7.22,6.09,5.38,4.84,4.39,3.98,3.59,3.17,2.67,5.45,5.18,5.00,4.85,4.70,4.57,4.44,4.27,4.07,Ryan Yarbrough,16502.00,642232.00
Grant Taylor,CHW,4,4,1,3.32,72,2,11,9,,79,65,32,29,8,31,2,3,92,10.46,3.50,2.98,0.91,0.28,0.222,1.22,0.29,0.76,0.45,,3.39,1.06,1.04,313.80999755859375,490.20000000000005,6.205063291139241,464.00,5.8734177215189876,5.68,4.69,4.10,3.67,3.30,2.97,2.67,2.34,1.97,4.39,4.10,3.90,3.74,3.58,3.44,3.30,3.14,2.93,Grant Taylor,33927.00,691799.00
Kyle Harrison,BOS,4,5,3,4.20,42,8,0,1,,78,74,39,36,11,29,1,4,78,8.97,3.38,2.65,1.24,0.23,0.245,1.32,0.30,0.73,0.39,,4.20,0.61,0.71,553.5599975585938,310.50,3.980769230769231,308.00,3.948717948717949,6.95,5.82,5.12,4.60,4.15,3.75,3.36,2.96,2.49,5.17,4.92,4.75,4.60,4.47,4.35,4.21,4.06,3.87,Kyle Harrison,27758.00,690986.00
Johan Oviedo,BOS,4,4,3,4.07,48,6,0,1,,78,72,38,35,9,31,2,4,78,9.10,3.54,2.57,1.09,0.24,0.243,1.33,0.30,0.73,0.42,,4.02,0.83,0.72,400.8800048828125,334.30,4.285897435897436,328.00,4.205128205128205,6.83,5.69,5.00,4.46,4.02,3.62,3.24,2.84,2.37,5.10,4.83,4.64,4.49,4.35,4.21,4.07,3.91,3.71,Johan Oviedo,22487.00,670912.00
Janson Junk,MIA,4,4,2,4.16,55,5,0,4,,77,81,39,36,11,15,1,3,58,6.76,1.80,3.75,1.24,0.18,0.265,1.25,0.30,0.71,0.43,,4.13,0.51,0.48,577.0599975585938,301.90,3.9207792207792207,320.00,4.1558441558441555,6.94,5.81,5.12,4.59,4.14,3.74,3.35,2.95,2.48,5.16,4.90,4.74,4.59,4.46,4.34,4.21,4.06,3.87,Janson Junk,23301.00,676083.00
Javier Assad,CHC,4,4,2,4.19,55,5,0,5,,77,76,39,36,10,27,1,3,66,7.71,3.18,2.43,1.16,0.20,0.255,1.35,0.30,0.72,0.44,,4.28,0.22,0.37,676.5599975585938,311.20000000000005,4.0415584415584425,317.00,4.116883116883117,7.00,5.86,5.15,4.62,4.17,3.77,3.38,2.98,2.49,5.22,4.96,4.78,4.64,4.50,4.37,4.24,4.08,3.88,Javier Assad,21741.00,665871.00
Dom Hamel,TEX,4,4,2,4.50,53,5,0,4,,76,75,41,38,11,27,1,4,65,7.70,3.26,2.36,1.34,0.20,0.254,1.36,0.29,0.72,0.39,,4.60,0.06,0.03,999.00,285.09999999999997,3.7513157894736837,290.00,3.8157894736842106,7.38,6.20,5.48,4.92,4.46,4.03,3.63,3.20,2.69,5.55,5.28,5.08,4.93,4.79,4.65,4.50,4.34,4.12,Dom Hamel,30153.00,687589.00
