Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
Rafael Montero,,3,3,0,4.29,58,0,0,0,,58,55,30,28,7,28,1,2,56,8.62,4.39,1.96,1.08,0.22,0.245,1.43,0.30,0.73,0.43,,4.35,0.01,0.03,999.00,222.10000000000002,3.8293103448275865,221.00,3.810344827586207,6.75,5.81,5.22,4.76,4.37,4.01,3.66,3.28,2.83,5.37,5.09,4.90,4.74,4.59,4.45,4.31,4.14,3.93,Rafael Montero,12760.00,606160.00
Gabe Speier,SEA,3,3,0,3.21,58,0,0,12,,58,48,22,21,6,18,2,3,66,10.32,2.76,3.74,0.99,0.28,0.220,1.13,0.29,0.76,0.41,,3.32,0.53,0.62,701.8800048828125,347.60,5.993103448275862,329.00,5.672413793103448,5.36,4.50,3.97,3.57,3.23,2.92,2.62,2.31,1.94,4.17,3.91,3.73,3.58,3.45,3.32,3.19,3.05,2.86,Gabe Speier,17170.00,642100.00
Blake Treinen,LAD,3,3,0,3.77,58,0,1,14,,58,51,26,24,7,22,2,2,64,9.93,3.39,2.92,1.10,0.26,0.232,1.26,0.30,0.74,0.43,,3.77,0.53,0.49,748.8099975585938,327.50,5.646551724137931,316.00,5.448275862068965,6.10,5.19,4.61,4.18,3.80,3.46,3.13,2.79,2.37,4.84,4.55,4.34,4.18,4.03,3.88,3.74,3.57,3.35,Blake Treinen,12572.00,595014.00
Colin Selby,BAL,3,3,0,3.82,58,0,0,12,,58,53,27,25,6,24,2,2,60,9.32,3.77,2.47,0.99,0.24,0.241,1.34,0.30,0.74,0.47,,3.87,0.27,0.25,999.00,307.60,5.30,302.00,5.206896551724138,6.21,5.29,4.71,4.27,3.89,3.55,3.21,2.86,2.44,4.93,4.64,4.43,4.27,4.12,3.97,3.82,3.66,3.44,Colin Selby,24986.00,681882.00
Justin Lawrence,PIT,3,3,0,3.94,58,0,1,12,,58,54,28,25,6,27,2,3,57,8.85,4.15,2.13,0.88,0.23,0.244,1.39,0.30,0.73,0.46,,3.99,0.28,0.33,624.8099975585938,292.00,5.0344827586206895,289.00,4.982758620689655,6.34,5.42,4.84,4.40,4.02,3.67,3.33,2.98,2.54,5.03,4.74,4.55,4.39,4.24,4.10,3.96,3.80,3.58,Justin Lawrence,17639.00,664875.00
Jaden Hill,COL,3,3,0,4.58,58,0,2,10,,58,60,32,30,7,23,1,4,55,8.50,3.52,2.41,1.14,0.22,0.262,1.42,0.32,0.70,0.46,,4.25,0.22,0.27,999.00,266.10,4.587931034482759,278.00,4.793103448275862,7.12,6.16,5.54,5.07,4.66,4.29,3.92,3.53,3.05,5.76,5.44,5.22,5.05,4.88,4.73,4.56,4.38,4.14,Jaden Hill,30250.00,677955.00
Brandon Williamson,CIN,3,3,1,4.40,43,3,0,1,,58,58,30,28,9,19,1,2,54,8.32,2.97,2.80,1.46,0.21,0.254,1.33,0.29,0.73,0.38,,4.51,0.23,0.36,999.00,216.70000000000005,3.736206896551725,222.00,3.8275862068965516,7.54,6.20,5.38,4.77,4.26,3.80,3.37,2.94,2.41,5.52,5.21,5.00,4.83,4.67,4.51,4.36,4.18,3.95,Brandon Williamson,25463.00,682227.00
Jake Bird,NYY,3,3,0,3.83,57,0,0,12,,57,52,26,24,6,24,2,3,58,9.14,3.77,2.43,1.02,0.24,0.238,1.33,0.30,0.74,0.46,,4.01,0.21,0.27,999.00,295.79999999999995,5.189473684210525,290.00,5.087719298245614,6.21,5.29,4.72,4.28,3.90,3.56,3.23,2.88,2.45,4.86,4.60,4.42,4.27,4.13,4.00,3.87,3.71,3.51,Jake Bird,21267.00,656234.00
Konnor Pilkington,WSN,3,3,0,4.04,57,0,1,11,,57,52,28,26,7,27,1,2,55,8.66,4.34,1.99,1.09,0.22,0.240,1.40,0.29,0.74,0.42,,4.37,0.02,0.25,999.00,272.49999999999994,4.780701754385964,266.00,4.666666666666667,6.45,5.53,4.94,4.49,4.11,3.76,3.41,3.05,2.61,5.08,4.81,4.63,4.48,4.34,4.20,4.06,3.91,3.70,Konnor Pilkington,21453.00,663455.00
Taylor Rogers,,3,3,0,3.86,57,0,0,0,,57,51,26,24,7,24,2,3,59,9.34,3.80,2.46,1.07,0.24,0.236,1.32,0.29,0.74,0.42,,4.02,0.34,0.38,999.00,240.09999999999994,4.212280701754385,231.00,4.052631578947368,6.22,5.30,4.73,4.28,3.91,3.56,3.23,2.88,2.45,4.90,4.62,4.43,4.28,4.14,4.00,3.86,3.71,3.50,Taylor Rogers,13449.00,573124.00
